#CODESYSTEMID=2.16.840.1.113883.6.8|CODESYSTEMNAME=UCUM|CODESYSTEMDISPLAYNAME=UCUM|VERSION=1|DESCRIPTION=The Unified Code for Units of Measure|LANGUAGE=en|AUTHORITYNAME=Regenstrief Institute, Inc. and The UCUM  Organization|AUTHORITYDESCRIPTION=The Organization|AUTHORITYCONTACTINFORMATION=http://unitsofmeasure.org/|VALIDFROM=08/07/2010 10:38
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|DIM|VALUE.UNIT [CASE INSENSITIVE]|VALUE.UNIT [CASE SENSITIVE]|VALUE.VALUE|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
25.27.193_V1|[DR_AV]|[dr_av]|dram|C|0|1||[OZ_AV]/16|[oz_av]/16|1|||08/07/2010 10:38|
25.27.194_V1|[SCWT_AV]|[scwt_av]|short hundredweight - U.S. hundredweight|C|0|1||[LB_AV]|[lb_av]|100|||08/07/2010 10:38|
25.27.195_V1|[LCWT_AV]|[lcwt_av]|long hunderdweight - British hundredweight|C|0|1||[LB_AV]|[lb_av]|112|||08/07/2010 10:38|
25.27.196_V1|[STON_AV]|[ston_av]|short ton - U.S. ton|C|0|1||[SCWT_AV]|[scwt_av]|20|||08/07/2010 10:38|
25.27.197_V1|[LTON_AV]|[lton_av]|long ton - British ton|C|0|1||[LCWT_AV]|[lcwt_av]|20|||08/07/2010 10:38|
25.27.198_V1|[STONE_AV]|[stone_av]|stone - British stone|C|0|1||[LB_AV]|[lb_av]|14|||08/07/2010 10:38|
25.27.199_V1|[PWT_TR]|[pwt_tr]|pennyweight|C|0|1||[GR]|[gr]|24|||08/07/2010 10:38|
25.27.200_V1|[OZ_TR]|[oz_tr]|ounce|C|0|1||[PWT_TR]|[pwt_tr]|20|||08/07/2010 10:38|
25.27.201_V1|[LB_TR]|[lb_tr]|pound|C|0|1||[OZ_TR]|[oz_tr]|12|||08/07/2010 10:38|
25.27.202_V1|[SC_AP]|[sc_ap]|scruple|C|0|1||[GR]|[gr]|20|||08/07/2010 10:38|
